"","logFC","logCPM","LR","PValue","FDR"
"ABCA12",-1.28710794204287,6.32004741450686,112.368352592992,2.96727525954461e-26,7.38509161712045e-24
"AFP",-2.16468447678848,5.0180971535414,53.5896813011237,2.47053610935444e-13,1.40853208490155e-11
"AKR1B10",-1.39872423368235,6.16287222472873,108.227769440465,2.39599066890957e-25,5.25574766729282e-23
"AKR1B15",-1.93134960347748,5.72430957134225,110.053747097284,9.5369557600091e-26,2.20405859725067e-23
"AKR1C4",-1.06707459556285,5.40842695972158,29.1619906335975,6.65724631849556e-08,1.54960578874046e-06
"ANKRD1",1.08297860445101,6.15044577956981,132.287956551167,1.29417208628086e-30,5.77557763470584e-28
"ANKRD34B",-1.64614039442138,5.69917342023784,87.8733293390953,6.97833026861799e-21,8.74586178167948e-19
"ANKS4B",-2.34141424007117,5.58402647394879,121.645172166713,2.76044753388385e-28,8.50612190083924e-26
"ANXA10",-1.43682135322351,5.57719772393212,63.7452089139824,1.41597512457185e-15,1.05095894354729e-13
"ANXA8",1.00767699209851,5.85650431035872,84.081583024769,4.74772935889973e-20,5.43762065158233e-18
"ATP10B",-1.28560051284107,6.31629446768379,114.383229854975,1.07408557930301e-26,2.78016311346791e-24
"B3GNT6",-1.27590517317136,6.23159646669485,99.6848509871022,1.78682762332701e-23,3.04277935540765e-21
"BARX1",-2.04016427527487,6.03032433697937,167.176237300566,3.06149835460809e-38,2.83013655038128e-35
"BRDT",-1.84291218483666,5.70298156880806,103.26762179257,2.9279965112753e-24,5.49190302158332e-22
"C11orf86",-3.14769410982386,5.59362883336951,164.595873752345,1.12096255761032e-37,9.06718588787044e-35
"C12orf56",-1.92570847980464,5.70569989166097,118.196978579791,1.56996298522503e-27,4.41705672930051e-25
"C1QL2",-1.01449953127027,5.4667892029982,32.5492449390366,1.16210272793058e-08,3.10742427786728e-07
"C8B",1.18780574987022,5.93772063804081,122.371584307409,1.91411764053041e-28,6.04207573262063e-26
"CA10",-1.15214489925392,5.4530359727341,43.5712850539329,4.08793587549735e-11,1.72895640851917e-09
"CA4",1.14749239662608,6.09537032937171,140.086702943398,2.54831936256136e-32,1.31921396761077e-29
"CA9",-1.39290632601312,6.23344957076479,123.621833323654,1.01931336311552e-28,3.47156672248448e-26
"CALML3",-1.20498740290806,5.42551443487783,42.7795950861521,6.12679149656769e-11,2.50927011229681e-09
"CALML5",-1.57950066838857,5.20112334201741,48.0815271837068,4.08860361866431e-12,2.01964534476159e-10
"CASKIN1",-1.37708129528076,5.94684399628057,87.712486383731,7.56950303136461e-21,9.24193473886045e-19
"CASP14",-1.57635569768685,4.9425652547207,28.4726701911322,9.50304841010305e-08,2.15391335417782e-06
"CD300LG",1.63674661006172,5.69565339200349,213.727190448365,2.11218368955201e-48,6.83397032754552e-45
"CDK5R2",-1.69415631524893,5.52788598693396,78.8349904631664,6.75204973193554e-19,7.10447379111462e-17
"CELF3",-1.07193498285975,5.58692845235454,39.1852850233747,3.85434203853204e-10,1.37040919402972e-08
"CGA",-1.9240747233866,5.21280392306288,55.1317933676264,1.12712895636137e-13,6.69142337304073e-12
"CHRNA9",-1.06773360970364,5.59139600468628,39.6321138757345,3.06599895292994e-10,1.12408380874842e-08
"CNGA3",-1.02990343606263,5.94872306994275,50.832137021314,1.0061278367289e-12,5.38070514997744e-11
"CNTN6",1.05784742700018,6.01828307687047,110.688487178638,6.92389653156082e-26,1.69073714927283e-23
"COL11A1",-1.04502577319455,6.46023466859931,93.4753678858142,4.11287311116912e-22,6.04872770508531e-20
"CRABP1",-2.02278698126849,5.58777791571729,110.568446941806,7.356115128902e-26,1.76301559256018e-23
"CSAG1",-2.60526696333357,5.31700364123833,108.723364081634,1.86592218270468e-25,4.16358015320069e-23
"CST1",-2.41676437229221,6.13748526697792,218.960171820066,1.52475133131004e-49,6.5777772432715e-46
"CTAG2",-1.76628155463512,5.07573475251317,52.948289321133,3.42446143879335e-13,1.91031810089929e-11
"CYP1A1",1.17321738471011,5.30357181424963,63.3347783282165,1.74397843742103e-15,1.2609256389443e-13
"CYP24A1",-1.0716227316323,6.50732560052139,98.0640811271144,4.05059990659498e-23,6.4719585174262e-21
"DEFA5",-1.06151553605722,4.6265051186028,11.030606978904,0.000896197989938515,0.00816227613355683
"DKK4",-1.26348958194355,4.90272004070376,22.2359853934921,2.41112224622443e-06,4.1276116548461e-05
"DLK1",-1.29665136573734,5.26455216485758,46.004723405189,1.17968221635232e-11,5.39485768340343e-10
"DLL3",-2.61813806240192,5.80535906911611,194.903009531491,2.70507705118293e-44,3.90363706468807e-41
"DMRTA2",-1.68689171137528,5.78541666547561,104.10379695901,1.91989945111451e-24,3.76474828732182e-22
"DPYSL5",-2.22734480985626,4.89715183260523,64.2376436165396,1.10281412191906e-15,8.34656161747166e-14
"DUSP13",-2.15755675589153,5.64864402463387,117.422704371753,2.31966254352597e-27,6.38746226347088e-25
"DUSP9",-1.44355985316313,5.88493983870973,94.8431081057831,2.06088470638251e-22,3.06574366321867e-20
"ECEL1",-1.22254752304213,6.0002118625134,80.7359135326108,2.57990558628103e-19,2.8058099241722e-17
"ENTPD8",-1.19379318016534,6.22055955579126,88.6416562391033,4.73218438894699e-21,6.1243930361752e-19
"EPS8L3",-1.52723413789737,5.54579049132006,65.7789946871285,5.04429896784812e-16,4.00511148723254e-14
"F11",1.07977815890308,5.8573422111854,100.879699013391,9.77432107663867e-24,1.68665684498477e-21
"F2",-2.88388508163512,5.19634453753584,96.1034933677664,1.09032243077621e-22,1.67987534513164e-20
"FAM133A",-1.04026518800298,5.5957959560699,39.5070239253438,3.26881560666091e-10,1.18834302194959e-08
"FAM83A",-1.04190851148539,6.6951847765059,110.208582521544,8.82038819921163e-26,2.07551752862176e-23
"FEZF1",-1.97855903687511,5.92932655443346,144.39655046848,2.90999230379418e-33,1.63744001720454e-30
