"","Expression","gene","group"
"1",11.2679570844028,"METTL3","tumor"
"2",10.6483575820097,"METTL3","tumor"
"3",10.5727002264873,"METTL3","tumor"
"4",10.8788172846142,"METTL3","tumor"
"5",10.4573808790725,"METTL3","tumor"
"6",10.8579809951276,"METTL3","tumor"
"7",11.8974673417219,"METTL3","tumor"
"8",10.5410966153495,"METTL3","tumor"
"9",10.9520131648895,"METTL3","tumor"
"10",10.6229669447905,"METTL3","tumor"
"11",10.753216749179,"METTL3","tumor"
"12",12.0891193979152,"METTL3","tumor"
"13",11.1085244567782,"METTL3","tumor"
"14",11.7418882727353,"METTL3","tumor"
"15",10.7623820387104,"METTL3","tumor"
"16",10.6101020629997,"METTL3","tumor"
"17",10.5449644327892,"METTL3","tumor"
"18",10.6008421143873,"METTL3","tumor"
"19",10.2946207488916,"METTL3","tumor"
"20",11.2033480029798,"METTL3","tumor"
"21",10.6829945836817,"METTL3","tumor"
"22",9.93516504960369,"METTL3","tumor"
"23",10.8719052376592,"METTL3","tumor"
"24",10.3264294871223,"METTL3","tumor"
"25",10.5038257379958,"METTL3","tumor"
"26",11.1241213118292,"METTL3","tumor"
"27",9.97297978606629,"METTL3","tumor"
"28",10.6017707884077,"METTL3","tumor"
"29",10.5225815312548,"METTL3","tumor"
"30",11.3717766443379,"METTL3","tumor"
"31",10.753216749179,"METTL3","tumor"
"32",11.4898479604393,"METTL3","tumor"
"33",10.3219280948874,"METTL3","tumor"
"34",10.868822554775,"METTL3","tumor"
"35",11.3106127816595,"METTL3","tumor"
"36",10.3128829552844,"METTL3","tumor"
"37",13.0366887687957,"METTL3","tumor"
"38",10.5225815312548,"METTL3","tumor"
"39",10.8392037880969,"METTL3","tumor"
"40",10.0579917227592,"METTL3","tumor"
"41",10.5840229402575,"METTL3","tumor"
"42",10.981567281903,"METTL3","tumor"
"43",10.5137275959524,"METTL3","tumor"
"44",11.3799198176465,"METTL3","tumor"
"45",10.9614496943982,"METTL3","tumor"
"46",10.8788172846142,"METTL3","tumor"
"47",10.9736973663054,"METTL3","tumor"
"48",10.7064960180612,"METTL3","tumor"
"49",10.3685064615077,"METTL3","tumor"
"50",9.84549005094438,"METTL3","tumor"
"51",11.3966047811819,"METTL3","tumor"
"52",10.468624042918,"METTL3","tumor"
"53",11.036860446673,"METTL3","tumor"
"54",10.8841705191084,"METTL3","tumor"
"55",11.4361909954814,"METTL3","tumor"
"56",11.2550285698187,"METTL3","tumor"
"57",11.3258675805754,"METTL3","tumor"
"58",10.977995368613,"METTL3","tumor"
"59",9.93369065495223,"METTL3","tumor"
"60",9.51372759595244,"METTL3","tumor"
"61",10.9844184588011,"METTL3","tumor"
"62",11.477252323938,"METTL3","tumor"
"63",10.3987436919382,"METTL3","tumor"
"64",11.1137421660492,"METTL3","tumor"
"65",11.1279943209764,"METTL3","tumor"
"66",10.632995197143,"METTL3","tumor"
"67",10.0781508077346,"METTL3","tumor"
"68",10.6856248397264,"METTL3","tumor"
"69",11.1724275086455,"METTL3","tumor"
"70",10.9388444574662,"METTL3","tumor"
"71",11.2082343583398,"METTL3","tumor"
"72",11.311748315005,"METTL3","tumor"
"73",10.6821167649501,"METTL3","tumor"
"74",9.9614496943982,"METTL3","tumor"
"75",11.1692986957928,"METTL3","tumor"
"76",10.9498267107591,"METTL3","tumor"
"77",12.7638347994296,"METTL3","tumor"
"78",11.2366122002158,"METTL3","tumor"
"79",10.2877123795494,"METTL3","tumor"
"80",11.5989829710361,"METTL3","tumor"
"81",11.4858293087019,"METTL3","tumor"
"82",10.5641494899857,"METTL3","tumor"
"83",9.89633240390994,"METTL3","tumor"
"84",10.0168082876866,"METTL3","tumor"
"85",9.45738087907253,"METTL3","tumor"
"86",11.7915699121269,"METTL3","tumor"
"87",11.2027360432502,"METTL3","tumor"
"88",11.5410966153495,"METTL3","tumor"
"89",11.2743781532464,"METTL3","tumor"
"90",10.0457596613827,"METTL3","tumor"
"91",9.85798099512757,"METTL3","tumor"
"92",11.0613711926598,"METTL3","tumor"
"93",11.1535520317081,"METTL3","tumor"
"94",11.3793783670713,"METTL3","tumor"
"95",10.3586512008929,"METTL3","tumor"
"96",11.6987046667703,"METTL3","tumor"
"97",11.7030383889864,"METTL3","tumor"
"98",11.4537850554962,"METTL3","tumor"
"99",10.5274770060604,"METTL3","tumor"
"100",10.4767462039395,"METTL3","tumor"
"101",10.8041310211833,"METTL3","tumor"
"102",11.2282174422934,"METTL3","tumor"
"103",10.8008998999203,"METTL3","tumor"
"104",10.7125270004398,"METTL3","tumor"
"105",10.2656150464845,"METTL3","tumor"
"106",11.2021238238305,"METTL3","tumor"
"107",12.7412562970921,"METTL3","tumor"
"108",11.1649069266757,"METTL3","tumor"
"109",10.9614496943982,"METTL3","tumor"
"110",10.7082217300384,"METTL3","tumor"
"111",11.2502984179063,"METTL3","tumor"
"112",9.88569637333939,"METTL3","tumor"
"113",12.0347989625773,"METTL3","tumor"
"114",9.14465824283188,"METTL3","tumor"
"115",10.9657842846621,"METTL3","tumor"
"116",11.3111806600534,"METTL3","tumor"
"117",11.1363503414542,"METTL3","tumor"
"118",10.1045987535644,"METTL3","tumor"
"119",10.2443638351205,"METTL3","tumor"
"120",10.0028150156071,"METTL3","tumor"
"121",10.8273427042341,"METTL3","tumor"
"122",10.9729797860663,"METTL3","tumor"
"123",11.7159619902551,"METTL3","tumor"
"124",10.2877123795494,"METTL3","tumor"
"125",11.2027360432502,"METTL3","tumor"
"126",10.0112272554233,"METTL3","tumor"
"127",10.7176764230664,"METTL3","tumor"
"128",11.5087851620645,"METTL3","tumor"
"129",10.2644426002266,"METTL3","tumor"
"130",11.9957671508778,"METTL3","tumor"
"131",11.2270141936491,"METTL3","tumor"
"132",10.3487281542311,"METTL3","tumor"
"133",11.7640422173066,"METTL3","tumor"
"134",11.1548181090521,"METTL3","tumor"
"135",11.581200581925,"METTL3","tumor"
"136",10.8757493514201,"METTL3","tumor"
"137",11.7245138531199,"METTL3","tumor"
"138",11.7598881832218,"METTL3","tumor"
"139",11.3657756353263,"METTL3","tumor"
"140",10.0056245491939,"METTL3","tumor"
"141",11.4573808790725,"METTL3","tumor"
"142",10.5887146355823,"METTL3","tumor"
"143",11.118292233027,"METTL3","tumor"
"144",10.4125698468052,"METTL3","tumor"
"145",10.9744145898055,"METTL3","tumor"
"146",9.90689059560852,"METTL3","tumor"
"147",11.6474584264549,"METTL3","tumor"
"148",10.2252074369435,"METTL3","tumor"
"149",10.967226258836,"METTL3","tumor"
"150",10.9285183752579,"METTL3","tumor"
"151",9.82654848729091,"METTL3","tumor"
"152",10.8811139606751,"METTL3","tumor"
"153",10.2526654324502,"METTL3","tumor"
"154",10.729620743553,"METTL3","tumor"
